Origin,Destination,Weight (m3)
45,36,981363.2753
46,36,1292.76603
47,36,3979968.416
48,36,28985519.69
49,36,29731.43875
50,36,81913465.42
51,36,652742941.5
53,36,3422931.798
54,36,7815.512121
55,36,335036.7093
56,36,2993.239545
1,37,45818617.01
4,37,649527.9726
5,37,76026.51306
6,37,11358355.44
8,37,376121.6859
9,37,74929142.36
10,37,1727527.421
12,37,47596891.79
13,37,850547812.7
16,37,818641.5471
17,37,22437309.62
18,37,690095.8157
19,37,1214603.659
21,37,2881828.278
22,37,4390.597852
23,37,936713.6392
24,37,109100036.5
25,37,22003637.95
26,37,2924066.017
27,37,4342001.623
28,37,24263.14242
29,37,324521.7617
31,37,496325.8519
34,37,51643015.91
35,37,70224570.38
36,37,103753350.8
37,37,18722322305
39,37,72081048.74
40,37,5967293.953
41,37,722258.8684
42,37,149461523.7
44,37,735015.2357
45,37,205393071.6
47,37,8741303.181
48,37,19487268.42
51,37,1361674957
53,37,693986.043
54,37,423086.4868
55,37,1897230.268
56,37,718399.4714
4,38,202953430
5,38,116185611.3
6,38,625437718.1
8,38,31879047.89
12,38,57801860.42
13,38,7567111.467
16,38,67910852.59
17,38,3632736881
18,38,72346909.36
19,38,2573724350
20,38,116198348.2
21,38,13029373.9
22,38,334326347.8
26,38,79047818.13
27,38,15903502761
28,38,16370845.59
29,38,1391608066
30,38,4934816.563
31,38,1328974415
34,38,759362946.3
35,38,457014426.8
36,38,152364720.1
37,38,1734748115
38,38,46238584814
39,38,45864173.96
40,38,102372410.5
41,38,6778575148
42,38,373910792.5
45,38,66144648.93
46,38,5101934855
47,38,126015535.8
48,38,1272050613
49,38,2876005.199
51,38,416168787
53,38,26723286259
55,38,3109945821
1,39,330937.2969
4,39,124788.8183
5,39,1483826.192
6,39,7692900.897
8,39,6606911.932
9,39,317318.6246
10,39,72900.17416
12,39,1086996.607
13,39,67462187.9
15,39,24338.02487
17,39,38900779.14
18,39,9947415163
19,39,769617.8301
20,39,913887.9927
21,39,42545585.37
22,39,3159614876
23,39,118231.9745
24,39,375830.4737
25,39,313486.2719
26,39,98204850.58
27,39,148933.2901
28,39,48399.54522
29,39,406941585.1
31,39,507105.894
32,39,334275.24
33,39,5016911.691
34,39,1372018.921
35,39,300486.9698
36,39,51767921.05
37,39,3844705311
38,39,15659804
39,39,44769341899
40,39,179268.5524
41,39,4750840.899
42,39,1646256419
44,39,160166.456
45,39,2980317157
46,39,53837.66149
47,39,40224587.7
48,39,13218368.92
49,39,108192.3379
50,39,14610.88691
51,39,2741547643
53,39,741733.2709
54,39,95334089.26
55,39,1346942.29
56,39,89775.1965
1,40,2095579.695
5,40,20258340.89
20,40,3122559021
22,40,26930224661
29,40,17397506.36
31,40,2612682981
35,40,9179053.145
40,40,36712891172
48,40,3617801405
1,41,17498266.78
2,41,41680.70992
4,41,93572353.96
5,41,865696.6385
6,41,167170949.7
8,41,3334454.5
9,41,38312984.28
10,41,37528.55923
12,41,12991283.72
13,41,45890041.94
15,41,755652.0688
16,41,5919831.454
17,41,18652861.55
18,41,55653640.3
19,41,39381034.24
20,41,2612450.491
21,41,14307268.99
22,41,15750033.12
23,41,12912.01534
24,41,21568614.57
25,41,13581800.83
26,41,48476052.67
27,41,2049990.982
28,41,58002941.08
29,41,107210865.3
30,41,3372786.028
31,41,23284000.76
32,41,12818641.37
33,41,170982.7039
34,41,38321594.34
35,41,682802.4865
36,41,26198628.78
37,41,151457916.3
38,41,19614769.48
39,41,101295626.6
40,41,7655722.586
41,41,3871347782
42,41,60117580.77
44,41,867993.6894
45,41,18546992.36
46,41,206830.902
47,41,40942752.02
48,41,108297443.8
49,41,7772219.834
50,41,192601.9848
51,41,37752865.18
53,41,575542268.4
54,41,6696.587687
55,41,68813464.67
56,41,14430.80616
1,42,4864518.461
4,42,33675.62807
5,42,305941.7346
6,42,42259424.62
8,42,297257.3773
9,42,38539109.88
10,42,19320706.4
12,42,15015801.45
13,42,1886497.412
16,42,270803.2918
17,42,22362859.84
18,42,13834745.22
20,42,2802415.228
21,42,15218810.63
22,42,7841446.556
23,42,1333236.886
24,42,954268285.4
25,42,57896342.95
26,42,61836615.51
27,42,203020.9263
28,42,155519.4413
29,42,9828744.606
32,42,801.6969548
33,42,15939751.55
34,42,406518003.5
36,42,350140947.2
37,42,20966455.08
39,42,108129510.2
41,42,16125.01852
42,42,3901493577
44,42,1833855.153
45,42,355138.089
47,42,52861552.03
48,42,17816483
50,42,4369525.602
51,42,228704941.5
53,42,59177.66958
54,42,35258829.34
55,42,13706728.53
1,45,33672633.65
4,45,12899.37453
5,45,239359.2117
6,45,941089.4298
8,45,1373.844449
9,45,285556.5937
12,45,1202570.562
13,45,141334994.6
16,45,93827.52609
17,45,96036.60295
18,45,388858.8157
19,45,1363.347609
20,45,1360.977355
21,45,1378113.051
22,45,15061.72352
24,45,1326411.262
25,45,176627.1626
26,45,120246.4916
27,45,9475.59885
28,45,23060.87978
29,45,334409.2246
32,45,27815.49672
33,45,158771.6995
35,45,47869.65268
36,45,336352.2687
37,45,600351781.9
39,45,52763646.32
41,45,245327.2859
42,45,630097.7518
44,45,34405.25471
45,45,4121554090
47,45,71024229.73
48,45,3401200.924
49,45,19169.9383
51,45,17731693.93
53,45,6197637.485
54,45,31753.16607
55,45,4112443.084
4,46,434825659.8
6,46,3435114166
8,46,7873550.866
12,46,15881.23666
13,46,79328491.45
16,46,78069594.7
17,46,9890495683
19,46,15137871423
20,46,566952480.5
23,46,6907894.335
24,46,3567.971774
26,46,100302.6458
27,46,11610700972
29,46,673816114.5
30,46,12099566.17
31,46,2745456129
32,46,3547.756637
34,46,56433.9256
36,46,1639.110735
37,46,187073957.5
38,46,3835653085
40,46,1359762.99
42,46,191803390.7
45,46,3116.500369
46,46,68634739654
47,46,1015708896
48,46,2284989136
49,46,73628241.39
53,46,18728152802
55,46,432569297
56,46,16039585.95
1,47,3294371547
2,47,8355.65129
4,47,59383.97794
5,47,18282286.67
6,47,1209232214
8,47,32127.4254
9,47,17768.43323
10,47,7964.803253
12,47,603720183.2
13,47,5421706588
17,47,328749830.1
18,47,38408309.45
19,47,13265.89217
20,47,72280094.17
21,47,724714391.9
22,47,6118377709
23,47,9849343.762
24,47,20318601.82
25,47,3812959.94
26,47,132667650.3
27,47,97112747.38
28,47,1343114251
29,47,68602822.65
31,47,19929223.57
32,47,14808.18419
34,47,43362555.29
35,47,11111.55478
36,47,172536142.3
37,47,581603996.2
38,47,12999881.56
39,47,78440663.01
40,47,33661581.97
41,47,3556461.525
42,47,84400322.94
45,47,336433076.3
46,47,10770.27081
47,47,5912071758
48,47,180903932.9
49,47,246319.655
50,47,3098210.754
51,47,276054792.1
53,47,6810.810264
54,47,23416.18736
55,47,51206975.93
1,48,94577961.87
4,48,180109356.3
5,48,103364130.3
6,48,2602413197
8,48,6434353585
9,48,18593149.14
12,48,272168881.7
13,48,319627531.7
16,48,11812099.9
17,48,1359320722
18,48,95535063.4
19,48,293241.6587
20,48,76405066.48
21,48,326498618.3
22,48,230023524.3
23,48,19245947.55
24,48,72142959.29
25,48,43492242.66
26,48,1114014469
27,48,35157323.36
28,48,140908926.5
29,48,694930088.2
30,48,78833125.87
31,48,125127259.1
32,48,26589848.23
34,48,80748824.08
35,48,741129525.5
36,48,274338577.5
37,48,229308801.9
39,48,85715156.65
40,48,2758428563
41,48,180427691.2
42,48,211786447.3
44,48,12996375.32
45,48,178495151.2
46,48,2223.489397
47,48,468825176.4
48,48,113076692233
49,48,144636316.9
51,48,91949686.16
53,48,72008041.25
55,48,140642062
56,48,6067.789406
1,49,30323.93388
4,49,75444221.64
5,49,136635.2767
6,49,92026170.26
8,49,41506049.37
12,49,119597.05
13,49,121096.2998
15,49,6057.275116
16,49,22299949.44
17,49,790344.033
18,49,49152.74412
19,49,49987.13205
22,49,515791.1318
24,49,5065.11948
25,49,563914.9611
26,49,618973.7197
28,49,99069.44008
30,49,557732.5677
32,49,16043808.7
34,49,7983.022834
35,49,3818497.785
36,49,2150991.021
37,49,29349.58704
39,49,514618.4908
40,49,475297.6883
41,49,2765607.064
42,49,32385.41662
47,49,151609160.2
48,49,920388.9123
49,49,2762761022
50,49,23729.5408
51,49,16011.48094
53,49,9386091.41
55,49,85491.02934
56,49,4520652.527
1,50,160.6702021
4,50,340209.5541
6,50,14323.43489
8,50,2779.265934
9,50,603.7419764
12,50,5889.511941
13,50,438.4284407
17,50,1904.201216
18,50,586.4177261
19,50,10321.96754
21,50,4569.773363
22,50,157.5474924
23,50,13921826.48
24,50,2691.88437
25,50,1975.263227
27,50,72.22963287
28,50,518.0982689
29,50,2740.109869
32,50,425.937602
33,50,32793677.93
34,50,4974.096383
35,50,1521.465624
36,50,29343521.82
37,50,1721.726354
39,50,277.4323906
41,50,1257.637386
42,50,5935.97243
44,50,1378.472674
45,50,159.0409623
47,50,1130.09506
48,50,12716.56995
49,50,675.6457613
50,50,64136403.57
51,50,2255.736865
53,50,4851.496085
55,50,520.9222846
56,50,2060.119469
1,51,192731.6129
4,51,129048.3497
6,51,17986475.89
9,51,55058367.78
10,51,2852006.274
12,51,21126955.53
13,51,97178256.54
17,51,627228500.4
18,51,662532.1857
20,51,988753.8317
21,51,6074250.755
